current_owner_name,account_count,avg_mrr,avg_products,avg_icp,total_mrr,Q1,Q2,Q3,Q4
AM_1,42,3125.0714285714284,2.738095238095238,2.7142857142857144,131253,9,12,11,10
AM_10,40,2942.875,2.55,2.9,117715,8,8,16,8
AM_2,30,2679.3333333333335,2.6333333333333333,2.466666666666667,80380,6,8,8,8
AM_3,43,2911.5813953488373,2.627906976744186,2.6511627906976742,125198,10,14,10,9
AM_4,11,2509.7272727272725,2.272727272727273,2.3636363636363638,27607,1,4,4,2
AM_5,46,2783.478260869565,2.4130434782608696,2.369565217391304,128040,10,13,11,12
AM_6,14,3045.6428571428573,2.857142857142857,2.5,42639,4,2,4,4
AM_7,31,2980.5806451612902,2.838709677419355,2.3870967741935485,92398,6,8,9,8
AM_8,15,2723.0,2.4,2.066666666666667,40845,4,2,4,5
AM_9,10,3095.6,3.1,3.0,30956,2,2,1,5
