opportunity_id,account_id,account_name,created_date,close_date,stage_name,nnarr,first_touch_source,first_touch_campaign,first_touch_timestamp,last_touch_source,last_touch_campaign,last_touch_timestamp
006000000001,001000000276,Company276 Labs,2025-12-17,2026-08-08,Closed Lost,77313,Unattributed,,,Unattributed,,
006000000002,001000000174,Company174 Labs,2025-11-15,2026-09-20,Closed Won,600000,Unattributed,,,Unattributed,,
006000000003,001000000058,Company058 Labs,2026-01-13,2026-08-20,Negotiation,77524,Unattributed,,,Unattributed,,
006000000004,001000000021,Company021 Labs,2025-11-26,2026-12-31,Discovery,112062,Unattributed,,,Unattributed,,
006000000005,001000000107,Company107 Labs,2025-12-13,2026-10-14,Proposal,58386,Unattributed,,,Unattributed,,
006000000006,001000000016,Company016 Labs,2026-03-08,2026-07-29,Proposal,358143,Unattributed,,,Unattributed,,
006000000007,001000000231,Company231 Labs,2026-02-11,2026-08-13,Prospecting,58386,Unattributed,,,Unattributed,,
006000000008,001000000199,Company199 Labs,2025-11-23,2027-01-05,Prospecting,396074,Unattributed,,,Unattributed,,
006000000009,001000000072,Company072 Labs,2025-12-31,2026-10-09,Discovery,228056,Unattributed,,,Unattributed,,
006000000010,001000000209,Company209 Labs,2026-01-01,2026-12-16,Negotiation,354895,Partner,Channel Partner,2025-06-13T14:58:07.453589+00:00,Unattributed,,
006000000011,001000000256,Company256 Labs,2026-03-11,2026-05-24,Discovery,390714,Unattributed,,,Unattributed,,
006000000012,001000000156,Company156 Labs,2025-12-03,2027-02-28,Negotiation,58386,Organic Search,SEO - Nonbrand,2025-09-04T14:58:07.452871+00:00,Email,Mid-Funnel Nurture,2025-11-26T14:58:07.452871+00:00
006000000013,001000000214,Company214 Labs,2025-11-29,2026-11-30,Closed Won,58386,Unattributed,,,Unattributed,,
006000000014,001000000033,Company033 Labs,2026-01-29,2027-02-04,Closed Lost,63416,Unattributed,,,Unattributed,,
006000000015,001000000137,Company137 Labs,2026-02-08,2026-11-11,Discovery,136442,Unattributed,,,Unattributed,,
006000000016,001000000268,Company268 Labs,2026-01-28,2026-11-28,Prospecting,58386,Field Event,Executive Dinner,2025-08-09T14:58:07.447239+00:00,Direct,Direct Visit,2025-11-03T14:58:07.447239+00:00
006000000017,001000000240,Company240 Labs,2025-12-24,2026-09-25,Proposal,167026,Unattributed,,,Unattributed,,
006000000018,001000000204,Company204 Labs,2026-03-07,2027-02-06,Closed Won,100140,Unattributed,,,Unattributed,,
006000000019,001000000250,Company250 Labs,2026-02-28,2026-10-09,Prospecting,128568,Unattributed,,,Unattributed,,
006000000020,001000000188,Company188 Labs,2026-02-19,2026-12-24,Discovery,600000,Unattributed,,,Unattributed,,
006000000021,001000000189,Company189 Labs,2025-12-06,2027-02-28,Discovery,332230,Paid Search,Google Search - Demo,2025-08-01T14:58:07.456507+00:00,Webinar,Pipeline Webinar,2025-09-18T14:58:07.456507+00:00
006000000022,001000000033,Company033 Labs,2026-01-12,2026-06-09,Proposal,279874,Unattributed,,,Unattributed,,
006000000023,001000000055,Company055 Labs,2026-02-18,2026-06-30,Proposal,276621,Unattributed,,,Unattributed,,
006000000024,001000000297,Company297 Labs,2025-11-21,2026-10-26,Prospecting,215837,Unattributed,,,Unattributed,,
006000000025,001000000200,Company200 Labs,2025-12-12,2026-09-26,Prospecting,193648,Unattributed,,,Unattributed,,
006000000026,001000000120,Company120 Labs,2025-11-23,2026-12-25,Discovery,539300,Unattributed,,,Unattributed,,
006000000027,001000000113,Company113 Labs,2026-03-02,2027-01-16,Closed Won,58386,Unattributed,,,Unattributed,,
006000000028,001000000159,Company159 Labs,2026-01-06,2027-01-30,Discovery,101312,Unattributed,,,Unattributed,,
006000000029,001000000050,Company050 Labs,2026-02-24,2026-12-13,Proposal,58386,Unattributed,,,Unattributed,,
006000000030,001000000186,Company186 Labs,2026-03-11,2027-02-05,Negotiation,58386,Unattributed,,,Unattributed,,
006000000031,001000000187,Company187 Labs,2026-01-13,2026-11-14,Proposal,58386,Unattributed,,,Unattributed,,
006000000032,001000000052,Company052 Labs,2026-03-07,2026-05-02,Closed Won,58386,Unattributed,,,Unattributed,,
006000000033,001000000006,Company006 Labs,2026-01-22,2026-04-30,Closed Lost,297283,Unattributed,,,Unattributed,,
006000000034,001000000261,Company261 Labs,2025-12-02,2027-01-11,Discovery,58386,Unattributed,,,Unattributed,,
006000000035,001000000133,Company133 Labs,2026-03-04,2026-10-15,Discovery,73480,Unattributed,,,Unattributed,,
006000000036,001000000094,Company094 Labs,2026-02-25,2026-07-24,Closed Won,150658,Unattributed,,,Unattributed,,
006000000037,001000000275,Company275 Labs,2025-12-29,2026-10-03,Closed Won,94802,Unattributed,,,Unattributed,,
006000000038,001000000047,Company047 Labs,2025-12-24,2026-05-18,Closed Won,431689,Unattributed,,,Unattributed,,
006000000039,001000000126,Company126 Labs,2025-11-30,2026-09-11,Prospecting,256318,Unattributed,,,Unattributed,,
006000000040,001000000078,Company078 Labs,2025-12-08,2026-06-27,Discovery,117151,Unattributed,,,Unattributed,,
006000000041,001000000210,Company210 Labs,2025-12-01,2027-03-07,Negotiation,111543,Unattributed,,,Unattributed,,
006000000042,001000000163,Company163 Labs,2026-02-01,2026-06-21,Negotiation,298785,Unattributed,,,Unattributed,,
006000000043,001000000081,Company081 Labs,2026-02-28,2026-10-21,Discovery,63974,Unattributed,,,Unattributed,,
006000000044,001000000259,Company259 Labs,2026-02-01,2026-06-15,Negotiation,98596,Unattributed,,,Unattributed,,
006000000045,001000000274,Company274 Labs,2025-12-09,2026-08-08,Prospecting,124617,Unattributed,,,Unattributed,,
006000000046,001000000260,Company260 Labs,2026-03-06,2027-03-06,Prospecting,166089,Unattributed,,,Unattributed,,
