current_owner_name,account_count,avg_mrr,avg_products,avg_icp,total_mrr,Q1,Q2,Q3,Q4
AM_1,28,11471.32142857143,2.7857142857142856,2.9285714285714284,321197,6,6,7,9
AM_10,28,12547.392857142857,2.8214285714285716,2.7857142857142856,351327,5,1,11,11
AM_2,28,12189.32142857143,2.5,2.642857142857143,341301,6,6,7,9
AM_3,27,13247.74074074074,2.7037037037037037,2.7037037037037037,357689,6,7,5,9
AM_4,27,12021.074074074075,2.7037037037037037,2.8518518518518516,324569,6,7,5,9
AM_5,27,12874.111111111111,2.925925925925926,3.0,347601,6,7,5,9
AM_6,27,12344.703703703704,2.5555555555555554,2.8518518518518516,333307,6,7,7,7
AM_7,27,13000.185185185184,2.925925925925926,2.740740740740741,351005,6,7,7,7
AM_8,27,12423.592592592593,2.5925925925925926,2.8518518518518516,335437,6,7,5,9
AM_9,27,12412.074074074075,2.4444444444444446,2.740740740740741,335126,6,6,6,9
