touch_id,lead_id,account_id,touch_timestamp,touch_type,source,subsource,campaign
touch_000074_ft,00Q000000074,001000000162,2025-05-24 16:05:16.240662+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000141_ft,00Q000000141,001000000389,2025-06-01 16:05:16.246592+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000073_ft,00Q000000073,001000000535,2025-06-05 16:05:16.240524+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000056_ft,00Q000000056,001000000309,2025-06-08 16:05:16.238676+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000065_ft,00Q000000065,001000000589,2025-06-12 16:05:16.239476+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000126_ft,00Q000000126,,2025-06-12 16:05:16.245167+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000130_ft,00Q000000130,001000000209,2025-06-13 16:05:16.245484+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000064_ft,00Q000000064,,2025-06-14 16:05:16.239358+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000053_ft,00Q000000053,001000000149,2025-06-18 16:05:16.238491+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000066_ft,00Q000000066,001000000447,2025-06-18 16:05:16.239596+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000134_ft,00Q000000134,001000000580,2025-06-18 16:05:16.245955+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000036_ft,00Q000000036,001000000216,2025-06-25 16:05:16.236918+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000051_ft,00Q000000051,,2025-06-25 16:05:16.238132+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000148_ft,00Q000000148,,2025-06-27 16:05:16.247304+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000110_ft,00Q000000110,001000000567,2025-06-29 16:05:16.243926+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000069_ft,00Q000000069,001000000419,2025-07-01 16:05:16.240066+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000118_ft,00Q000000118,,2025-07-03 16:05:16.244484+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000142_ft,00Q000000142,,2025-07-06 16:05:16.246620+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000047_ft,00Q000000047,,2025-07-07 16:05:16.237785+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000067_ft,00Q000000067,001000000306,2025-07-08 16:05:16.239712+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000106_ft,00Q000000106,,2025-07-09 16:05:16.243429+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000149_ft,00Q000000149,001000000073,2025-07-10 16:05:16.247432+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000034_ft,00Q000000034,,2025-07-12 16:05:16.236769+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000052_ft,00Q000000052,001000000192,2025-07-12 16:05:16.238364+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000039_ft,00Q000000039,,2025-07-16 16:05:16.237195+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000015_ft,00Q000000015,001000000010,2025-07-17 16:05:16.234896+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000096_ft,00Q000000096,,2025-07-19 16:05:16.242404+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000006_ft,00Q000000006,001000000524,2025-07-24 16:05:16.234084+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000102_ft,00Q000000102,001000000474,2025-07-24 16:05:16.243013+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000116_ft,00Q000000116,,2025-07-24 16:05:16.244401+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000158_ft,00Q000000158,,2025-07-24 16:05:16.248464+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000111_ft,00Q000000111,001000000456,2025-07-25 16:05:16.244043+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000027_ft,00Q000000027,001000000345,2025-07-26 16:05:16.236098+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000088_ft,00Q000000088,001000000285,2025-07-26 16:05:16.241815+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000089_ft,00Q000000089,001000000462,2025-07-27 16:05:16.241931+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000008_ft,00Q000000008,001000000439,2025-07-30 16:05:16.234324+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000135_ft,00Q000000135,,2025-07-30 16:05:16.245984+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000123_ft,00Q000000123,001000000468,2025-08-01 16:05:16.244994+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000160_ft,00Q000000160,001000000122,2025-08-01 16:05:16.248612+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000163_ft,00Q000000163,001000000189,2025-08-01 16:05:16.248876+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000104_ft,00Q000000104,001000000226,2025-08-02 16:05:16.243276+00:00,marketing_touch,Paid Search,paid_search,Google Search - Demo
touch_000152_ft,00Q000000152,001000000426,2025-08-03 16:05:16.247804+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000146_ft,00Q000000146,001000000147,2025-08-05 16:05:16.247100+00:00,marketing_touch,Organic Search,organic_search,SEO - Nonbrand
touch_000072_ft,00Q000000072,,2025-08-07 16:05:16.240345+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000085_ft,00Q000000085,001000000563,2025-08-08 16:05:16.241551+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000050_ft,00Q000000050,001000000268,2025-08-09 16:05:16.238091+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000107_ft,00Q000000107,001000000045,2025-08-09 16:05:16.243547+00:00,marketing_touch,Field Event,field_event,Executive Dinner
touch_000121_ft,00Q000000121,,2025-08-11 16:05:16.244757+00:00,marketing_touch,Partner,partner,Channel Partner
touch_000063_ft,00Q000000063,001000000551,2025-08-12 16:05:16.239329+00:00,marketing_touch,Field Event,field_event,Executive Dinner
